"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 02 19:04:25 IST 2023","Wed Aug 02 19:04:25 IST 2023","0","","test_file_1","Test_Cases_01","","","test_1",""
"passed","Wed Aug 02 19:04:25 IST 2023","Wed Aug 02 19:04:25 IST 2023","0","","test_file_1","Test_Cases_01","","","test_2",""
